#options: 1920x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=3000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4000 vbv_bufsize=6000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:38.40 aq:20.00 tex:486 mv:1878 misc:6492 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:38.40 aq:21.00 tex:0 mv:0 misc:408 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:38.40 aq:22.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:38.40 aq:23.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:38.40 aq:23.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:6 out:5 type:P dur:2 cpbdur:2 q:38.16 aq:25.00 tex:3510 mv:2208 misc:602 imb:541 pmb:0 smb:7619 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:38.40 aq:23.00 tex:88 mv:128 misc:552 imb:0 pmb:541 smb:7619 d:s ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:38.04 aq:24.27 tex:6354 mv:3328 misc:622 imb:706 pmb:7 smb:7447 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:37.99 aq:24.63 tex:7799 mv:3593 misc:600 imb:811 pmb:10 smb:7339 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:37.94 aq:23.42 tex:8904 mv:3671 misc:553 imb:877 pmb:14 smb:7269 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:37.90 aq:23.77 tex:11136 mv:3570 misc:558 imb:797 pmb:16 smb:7347 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:37.85 aq:23.92 tex:14200 mv:3950 misc:570 imb:726 pmb:31 smb:7403 d:- ref:0 w:4,17,-15 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:37.90 aq:22.48 tex:15829 mv:3998 misc:669 imb:659 pmb:53 smb:7448 d:- ref:0 ;
in:15 out:13 type:P dur:2 cpbdur:2 q:38.12 aq:21.23 tex:27524 mv:3897 misc:707 imb:721 pmb:46 smb:7393 d:- ref:0 ;
in:13 out:14 type:B dur:2 cpbdur:2 q:38.16 aq:25.52 tex:6154 mv:5521 misc:629 imb:209 pmb:569 smb:7382 d:s ref:0 ;
in:14 out:15 type:b dur:2 cpbdur:2 q:38.16 aq:26.49 tex:922 mv:1965 misc:1017 imb:27 pmb:246 smb:7887 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:37.63 aq:22.78 tex:7864 mv:3161 misc:951 imb:110 pmb:231 smb:7819 d:s ref:0 ;
in:19 out:17 type:P dur:2 cpbdur:2 q:37.59 aq:23.81 tex:1618 mv:1898 misc:956 imb:58 pmb:172 smb:7930 d:- ref:0 ;
in:17 out:18 type:B dur:2 cpbdur:2 q:37.63 aq:26.06 tex:3557 mv:2864 misc:891 imb:30 pmb:267 smb:7863 d:s ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:37.63 aq:33.92 tex:425 mv:921 misc:782 imb:4 pmb:135 smb:8021 d:- ref:0 ;
in:23 out:20 type:P dur:2 cpbdur:2 q:30.33 aq:15.71 tex:22429 mv:5256 misc:1131 imb:525 pmb:203 smb:7432 d:- ref:0 ;
in:21 out:21 type:B dur:2 cpbdur:2 q:37.53 aq:23.78 tex:1943 mv:4013 misc:684 imb:95 pmb:579 smb:7486 d:s ref:0 ;
in:20 out:22 type:b dur:2 cpbdur:2 q:37.56 aq:37.27 tex:330 mv:2239 misc:967 imb:6 pmb:298 smb:7856 d:s ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:37.50 aq:31.28 tex:596 mv:2060 misc:896 imb:19 pmb:220 smb:7921 d:- ref:0 ;
in:25 out:24 type:P dur:2 cpbdur:2 q:23.15 aq:7.43 tex:30197 mv:5427 misc:1336 imb:432 pmb:299 smb:7429 d:s ref:0 ;
in:24 out:25 type:b dur:2 cpbdur:2 q:30.52 aq:24.43 tex:734 mv:2523 misc:975 imb:11 pmb:268 smb:7881 d:s ref:0 ;
in:26 out:26 type:P dur:2 cpbdur:2 q:22.53 aq:8.42 tex:24560 mv:4880 misc:968 imb:215 pmb:351 smb:7594 d:s ref:0 ;
in:27 out:27 type:P dur:2 cpbdur:2 q:22.57 aq:11.56 tex:18208 mv:4334 misc:1050 imb:206 pmb:320 smb:7634 d:s ref:0 ;
in:28 out:28 type:P dur:2 cpbdur:2 q:23.00 aq:16.65 tex:21432 mv:3770 misc:950 imb:221 pmb:260 smb:7679 d:s ref:0 ;
in:30 out:29 type:P dur:2 cpbdur:2 q:23.56 aq:7.67 tex:29685 mv:3739 misc:856 imb:361 pmb:208 smb:7591 d:s ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:23.55 aq:12.80 tex:2705 mv:3022 misc:1057 imb:43 pmb:245 smb:7872 d:s ref:0 ;
in:32 out:31 type:P dur:2 cpbdur:2 q:25.11 aq:16.76 tex:32085 mv:3853 misc:814 imb:244 pmb:243 smb:7673 d:s ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:25.10 aq:16.79 tex:1515 mv:2690 misc:875 imb:35 pmb:206 smb:7919 d:s ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:25.00 aq:14.44 tex:46585 mv:3611 misc:796 imb:227 pmb:241 smb:7692 d:s ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:25.18 aq:15.27 tex:6898 mv:4644 misc:914 imb:39 pmb:333 smb:7788 d:s ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:25.18 aq:12.10 tex:2814 mv:3731 misc:967 imb:55 pmb:236 smb:7869 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:25.18 aq:12.65 tex:2357 mv:3015 misc:908 imb:19 pmb:224 smb:7917 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:24.03 aq:5.59 tex:26289 mv:3839 misc:896 imb:191 pmb:255 smb:7714 d:s ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:25.00 aq:18.09 tex:3932 mv:3822 misc:942 imb:45 pmb:284 smb:7831 d:s ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:25.00 aq:19.12 tex:3136 mv:2334 misc:890 imb:13 pmb:214 smb:7933 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:24.99 aq:17.02 tex:2442 mv:3149 misc:945 imb:27 pmb:242 smb:7891 d:- ref:0 ;
